what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_GB",1423652906407
processors,sysinfo,,,"4",1423652906407
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1423652906407
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1423652906407
java.specification.name,sysinfo,,,"Java Platform API Specification",1423652906407
java.specification.vendor,sysinfo,,,"Oracle Corporation",1423652906407
java.specification.version,sysinfo,,,"1.8",1423652906407
java.vendor,sysinfo,,,"Oracle Corporation",1423652906407
java.version,sysinfo,,,"1.8.0_05",1423652906407
java.vm.info,sysinfo,,,"mixed mode",1423652906407
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1423652906407
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1423652906407
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1423652906407
java.vm.specification.version,sysinfo,,,"1.8",1423652906407
java.vm.vendor,sysinfo,,,"Oracle Corporation",1423652906407
java.vm.version,sysinfo,,,"25.5-b02",1423652906407
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1423653022242
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1423653022347
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1423653022352
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1423653022475
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1423653022637
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1423653022638
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1423653022649
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423653023114
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423653023216
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1423653028175
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1423653028635
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1423653028710
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423653028761
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423653028805
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1423653029382
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1423653030739
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423653159520
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423653161765
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423653161796
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1423653168557
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1423653168926
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1423653168934
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1423653169072
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1423653169073
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1423653178103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423653247546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423653266874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423653269674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423653280328
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1423653282796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1423653290852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423653292727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423653293820
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1423653294212
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1423653294228
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1423653294232
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1423653294235
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1423653294249
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1423653294251
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1423653294255
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1423653294263
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1423653294276
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1423653294278
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1423653294285
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1423653294313
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1423653294314
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1423653294326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423654062373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423654103556
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423654119044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423654214123
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423654362848
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1423654365088
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423654367639
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1423654367669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423654483053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423654515091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423654531302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1423655711409
