what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653412579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653413134
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653417726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653447139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653498398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653556031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653567162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653581976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653591298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653613393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653618898
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519653624542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1519653627705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653642689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653643071
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653643769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653651378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653652476
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653652996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653655958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653663980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653678233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653684315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653695213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1519653700194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653703675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653704853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653705377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653712009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653719956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653723397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1519653725102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653732359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653732975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653733454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653734195
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653743933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653746446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1519653747194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653756982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653768768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1519653777906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653786988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653787061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653796619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653797598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653797927
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653798172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653803057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653805343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653805998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653812216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653814291
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519653814696
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653835124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653835649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836181
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836350
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836480
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653836510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653838025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519653838693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653853874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653856970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653857499
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653868710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519653882841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654018189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654018491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654019275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654028923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654036294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654056678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654059145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654061101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654068687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1519654068958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1519654069294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654086740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654086838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654089396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654094070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654101852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654101949
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519654107471
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519654118336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1519654123568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654126053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654127182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654127741
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654133058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654135925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654136225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654136596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654136947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654137279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654137537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654137814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654138281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654138793
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654140186
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1519654141760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654144518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654146055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654146644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654149850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654150583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654160040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1519654165623
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519654177855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654182135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654182248
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519654189694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654197062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654197176
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519654201105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654203952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654205066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654205602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654208861
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654211707
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654212115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654212670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654215240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654215802
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654216460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654217591
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654220779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654222686
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654223065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654223866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654225810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654226298
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654226762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654233554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654234613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654235115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654238005
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654239242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654245410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654246385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654260645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1519654272002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654277930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654278011
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519654285383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654287787
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654287861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654290562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654299628
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519654302841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654305185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1519654305243
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1519654312844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1519654318971
